,id,name,description,languages,publisher
1015,2Q0GWBAyaN2wHUKsgJG5xO,PrimeTime Money,"Richard Infantino has been the host of the weekly radio program Prime Time Money since 1992. The show focuses on all areas of investment and wealth management, as well as timely ideas for those approaching or enjoying retirement.         Prime Time Money has been one of Ontario’s longest running programs for over 20 years, during which Richard has interviewed leading money managers, estate lawyers and accountants on a variety of investment and wealth management topics. Richard’s vast experience in the investment industry, coupled with his access to global market research and investment expertise have helped him to advise his clients and help them achieve their personal and financial goals.  Over the years, Richard has presented at over 500 wealth management seminars and workshops, making him a much sought-after speaker and advisor. If you are interested in receiving complimentary  investment guides from this week's Prime Time Money Radio show, call Sandra at (905) 822-1320 or  toll free at 1-844-226-2221.",['en'],PrimeTime Money
1016,51KwK9vZnfSRfhSDZkGFbK,The Bag Is Secured Podcast,"We’re a young community spreading different life and financial hacks and tips. Join us as we dive into E-Commerce, Credit Hacks, Investing, Personal Branding, and Social Media. Produced for the younger generation by the younger generation.",['en'],Ethan Rode
1017,1O8EuHKVqvMtwvvYUZm2Qi,The Model FA,"Model FA is the community for financial advisors committed to removing financial anxiety from the world by disrupting the status quo, serving more people, and accelerating their personal and business growth.",['en'],Patrick Brewer
1018,5cmikLSqza7DZGSfY57JEv,Limit Free Life with Michelle Perkins,"a coaching and personal development company, to help men and women create financial prosperity and freedom while doing work they love. Limit Free Life offers coaching services including: career transition coaching, reinvention at all stages of life, and working with entrepreneurs to improve business acumen, management and leadership skills so they create profitable businesses they love . A special focus of my work is lifting barriers to success by uncovering underlying money beliefs, illuminating what’s driving money behavior, and paving the way for a better relationship with money and increased wealth.",['en'],UBNGO
1019,3HHBzOlbcfbWtlLS4CKCqC,Going Through It,"Nat and Kenechi share their personal experiences growing up in NYC together. From relationships, sex, and breakups to finances and career advice, no topic is off-limits for this dynamic duo.",['en'],Going Through It
1020,0g0WTXm3rl1Oe1CDTQlgs2,POCKET CHANGE,"Pocket Change is hosted by entrepreneur and investor Eric Moore. This podcast fosters financial literacy & tips on personal development. Using conversation to breakdown and dismiss myths entrepreneurship, investing, saving, and generational wealth.",['en'],Eric Moore
1022,0k96TgJ6GHXfz694ZQWfC6,Business Tidbits with Julianna,"This is a podcast that gives busy small business owners bite size insights to chew on and inspires them to keep learning, growing, and moving forward. The content that you will find here is about business processes, financial increase, & personal growth from a Christian perspective.                                                           ",['en'],Julianna Craft
1023,1HpQWfVVhTulQhSRlhfvMc,The Sanctuary Radio Show,"BORN TO EDUCATE, INSPIRE AND EMPOWER! I AM a certified integrative nutrition health coach, author, radio show host and revolutionary who educates, inspires, and empowers women of color to unapologetically transform into their most authentic and healthy selves by tapping into the Goddess within. My full-service, holistic life-coaching practice,The Goddess Awakening & Healing Sanctuary, LLC, focuses on nutrition, emotional, spiritual and physical wellness, personal and professional relationships, self-love, finances and more.  Watch behind the scenes footage of The Sanctuary at http://bit.ly/GoddessYouTube",['en'],Wendi Cherry
1024,7Ap8LdzH9lRlub7gVq8ipR,Brunch & Budget,"Money Talks and So Should We: The podcast about personal finance & racial economic inclusionIt's more than just a show about personal finance. It's a show about making finance personal. Even though your money might feel very private, finance and economics can often feel like this vast, convoluted world where it's hard to figure out what's actually relevant and what you should really believe. Brunch & Budget is about how the hidden truths in big finance affect your everyday life. So tune in and let's get personal. Subscribe on iTunes or find us on Stitcher.",['en'],Brunch & Budget
1025,3hrFTWSw8gmzUNRMxqrj5p,Making Cent$ of Wealth,"Welcome to Making Cents of Wealth with Andrew Whalen, Your Personal CFO. The show where we break down complex financial topics and market events into investor-friendly concepts so that you can make better-informed decisions about your financial future.",['en-US'],Whalen Financial
1026,7HKFvPV5ciDHWlMGgjqxwi,Basics in Living,For the past few years I have talked with and interviewed hundreds of health and wellness professionals. None of them could answer how to create a personal baseline for wellness. This blog is a record of my search for an answer.   It will integrate financial planning and cost something that is hard to decipher. Starting out I am looking at my body as hardware and mental as software. This should provide metrics on how to find my baseline for wellness and help create a roadmap to optimal health!,['en'],Basics in Living
1027,075uksQwwJZtRVXzBvZCA7,Coffee & the 6 F's,"Our society is in the pursuit of trying to fix independent aspects of the human, not the whole individual. We are missing the bigger picture of the whole being in the process. We aim to provide you with real-life stories and expert guests in the categories of the 6 F's. Faith, family, fitness, freedom, finance, future. Our goal is to bring truth to you and help the world see that we need to focus on the whole person and not just individual categories to make a holistically well community of humans. Let's make the world a better place together.  Brought to by CrossFit Camrose  ",['en'],Matthew Chenard
1028,0pEA7bwde7fD06IXLfb4TN,Entrepreneur Mums 101,"Helping Entrepreneurs with tools and resources for success. Learn from Successful Women and Mom Entrepreneurs who joyfully juggle business, family and self. Entrepreneur Mum 101 is a weekly podcast for women who want to be inspired by successful women in order to live intentional lives on their own terms. If you want to learn how other women are able to successfully focus on the important things in life such as family, business and personal growth in order to have financial freedom while making a difference in the world then this is the podcast for you.",['en'],Catherine
1029,3OtC3u9ej1ATPbiOg6QzhP,The Right Method,"The Right Method is a paradox. There is no right method. You have to find what’s right for you.  Welcome to The Right Method, a 100% virtual television show and podcast connecting its viewers with the world’s most famous and notable thought leaders in motivation, business and holistic living. The Right Method is the first of its kind, taking you into the homes of the top 1% with the key focus areas of health, finance, entrepreneurialism, mindset, and service to others. We are here to help you live your best life, transform your lifestyle, and obtain everything in life you truly desire.  Told by three-time Emmy-award winning journalist Dhomonique Murphy, The Right Method is compelling, engaging, fresh, educational, emotional, and entertaining.  Dhomonique Murphy is the President of The Right Method, LLC. The Emmy Award-winning television host and journalist and her husband, Frank Murphy, created the motivational self-help company as a way to help people rediscover their love for life.  During her nearly 20 years as a television host, anchor, and journalist, Dhomonique quickly discovered that everyone wants the same five things: love, purpose, health, financial independence, and respect. It may look different for each person, but those core principals of fulfillment are what everyone truly desires to obtain. The reality is, however, that most people are going through life, confused and frustrated, looking for a specific method or formula to achieve ultimate happiness and success. Years of long meditation and careful study brought Dhomonique to the conclusion that the idea of a one-size-fits-all approach to obtaining fulfillment is flawed.  Hence, the creation of The Right Method.   The Right Method is an experience. It is a conversation with the world’s greatest thought leaders about what life is truly about – true stories of overcoming crisis and achieving maximum triumph, how they built their empires, and inspired the world. The Right Method gives you the tools to reach optimum success in every phase of your life. It’s inspiring, uplifting, and unique!  We are all programmed to think that we can’t do things in life, but we are going to help you change your mindset and achieve your wildest dreams. You deserve to live an epic life, and we are here to help you achieve it. It’s time to start living a life that counts. We want you to be alive; we are going to awaken your senses and help you reach your maximum potential.   Every week, Dhomonique brings you special guests who share their stories of success and nuggets of advice – what they’ve done, who they are, and how you can implement what they’ve done to rise to the top!  We’re all looking for the same five things – love, purpose, health, financial independence, and respect – and they may come in different packages. Discover the right method for you only here on The Right Method with Dhomonique Murphy.",['en'],Dhomonique Murphy
